78,100,77,0,49,22,103,44,102,0,51,0,100,77,77,58,49,22,103,44,102,34,51,78,100,77,0,44,48,76,44,100,24,0	0,100,77,77,58,44,48,76,44,100,24,34	
78,100,77,0,44,48,76,44,100,24,0,51,0,100,77,77,58,44,48,76,44,100,24,34,51,78,100,77,0,23,106,49,21,0	0,100,77,77,58,23,106,49,21,34	
78,100,77,0,23,106,49,21,0,51,0,100,77,77,58,23,106,49,21,34,51,78,100,77,0,103,76,19,102,25,39,74,0	0,100,77,77,58,103,76,19,102,25,39,74,34	
78,100,77,0,19,0,0,0,0,51,0,29,19,103,49,100,72,22,102,19,29,51,78,100,77,0,1,102,22,0,0	0,24,21,103,49,58,1,102,22,102,104,102,76,24	
78,100,77,0,1,102,0,51,0,24,21,103,49,58,1,102,22,102,104,102,76,24,51,78,100,77,0,48,0,0	0,24,21,103,49,58,48,23,24,103,48,76,49	
78,100,77,0,1,102,0,51,0,24,21,103,49,58,1,102,22,102,104,102,76,24,51,78,100,77,0,48,0,0	0,24,21,103,49,58,48,23,24,103,48,76,49	
78,100,77,0,49,22,103,44,102,0,51,0,100,77,77,58,49,22,103,44,102,34,51,78,100,77,0,44,48,76,44,100,24,0	0,100,77,77,58,44,48,76,44,100,24,34	
78,100,77,0,44,48,76,44,100,24,0,51,0,100,77,77,58,44,48,76,44,100,24,34,51,78,100,77,0,23,106,49,21,0	0,100,77,77,58,23,106,49,21,34	
78,100,77,0,23,106,49,21,0,51,0,100,77,77,58,23,106,49,21,34,51,78,100,77,0,103,76,19,102,25,39,74,0	0,100,77,77,58,103,76,19,102,25,39,74,34	
78,100,77,0,19,0,0,0,0,51,0,29,19,103,49,100,72,22,102,19,29,51,78,100,77,0,1,102,22,0,0	0,24,21,103,49,58,1,102,22,102,104,102,76,24	
78,100,77,0,1,102,0,51,0,24,21,103,49,58,1,102,22,102,104,102,76,24,51,78,100,77,0,48,0,0	0,24,21,103,49,58,48,23,24,103,48,76,49	
78,100,77,0,1,102,0,51,0,24,21,103,49,58,1,102,22,102,104,102,76,24,51,78,100,77,0,48,0,0	0,24,21,103,49,58,48,23,24,103,48,76,49	
78,100,77,0,77,102,49,0,51,0,24,21,103,49,58,77,102,49,34,51,78,100,77,0,77,102,105,0	0,24,21,103,49,58,77,102,105,34	
78,100,77,0,77,102,49,0,51,0,24,21,103,49,58,77,102,49,34,51,78,100,77,0,77,102,105,0	0,24,21,103,49,58,77,102,105,34	
78,100,77,0,49,107,76,44,0,51,0,49,24,100,24,102,58,49,107,76,44,34,51,78,100,77,0,44,72,0	0,49,24,100,24,102,58,50,77,103,24,102,44,72,34	
78,100,77,0,49,103,79,102,0,0,0,51,0,24,59,58,49,103,79,102,34,51,78,100,77,0,44,48,22,48,77,0,0	0,24,59,58,44,48,22,48,77,34	
78,100,77,0,48,72,75,102,44,24,0,51,0,24,21,103,49,58,43,48,72,75,102,44,24,34,51,78,100,77,0,47,102,107,49,0	0,24,21,103,49,58,43,47,102,107,49,34	
78,100,77,0,48,72,75,102,44,24,0,51,0,24,21,103,49,58,43,48,72,75,102,44,24,34,51,78,100,77,0,47,102,107,49,0	0,24,21,103,49,58,43,47,102,107,49,34	
78,100,77,0,76,48,19,102,49,0,51,0,24,21,103,49,58,76,48,19,102,49,34,51,78,100,77,0,76,48,19,102,0	0,76,48,19,102,49,42,103,19,25,99,34	
78,100,77,0,24,107,23,102,0,51,0,24,21,103,49,58,43,24,107,23,102,34,51,78,100,77,0,49,24,100,44,47,0	0,24,21,103,49,58,43,49,24,100,44,47,34	
78,100,77,0,76,48,19,102,0,51,0,49,24,100,44,47,58,76,48,19,102,34,51,78,100,77,0,103,76,19,102,25,0	0,49,24,100,44,47,58,103,76,19,102,25,31,31,34	
78,100,77,0,104,100,23,0,51,0,48,104,100,23,58,43,104,100,23,34,51,78,100,77,0,22,103,49,24,0	0,48,104,100,23,58,43,22,103,49,24,34	
78,100,77,0,47,102,107,0,51,0,102,22,102,104,102,76,24,58,47,102,107,34,51,78,100,77,0,77,102,74,0	0,102,22,102,104,102,76,24,58,77,102,74,34	
78,100,77,0,77,102,74,0,51,0,102,22,102,104,102,76,24,58,77,102,74,34,51,78,100,77,0,49,102,22,74,0	0,102,22,102,104,102,76,24,58,43,49,102,22,74,34	
78,100,77,0,49,24,100,77,24,0,51,0,48,74,74,49,102,24,49,58,49,24,100,77,24,34,51,78,100,77,0,102,76,19,0	0,48,74,74,49,102,24,49,58,102,76,19,34	
78,100,77,0,49,22,103,44,102,0,51,0,100,77,77,58,49,22,103,44,102,34,51,78,100,77,0,44,48,76,44,100,24,0	0,100,77,77,58,44,48,76,44,100,24,34	
78,100,77,0,44,48,76,44,100,24,0,51,0,100,77,77,58,44,48,76,44,100,24,34,51,78,100,77,0,23,106,49,21,0	0,100,77,77,58,23,106,49,21,34	
78,100,77,0,23,106,49,21,0,51,0,100,77,77,58,23,106,49,21,34,51,78,100,77,0,103,76,19,102,25,39,74,0	0,100,77,77,58,103,76,19,102,25,39,74,34	
78,100,77,0,103,24,102,104,0,51,0,19,100,24,100,58,103,24,102,104,34,51,78,100,77,0,24,102,25,24,0	0,103,24,102,104,58,24,102,25,24,34	
78,100,77,0,100,19,19,102,19,0,51,0,102,58,100,19,19,102,19,34,51,78,100,77,0,77,102,104,48,78,102,19,0	0,102,58,77,102,104,48,78,102,19,34	
78,100,77,0,100,19,19,102,19,0,51,0,102,58,100,19,19,102,19,34,51,78,100,77,0,77,102,104,48,78,102,19,0	0,102,58,77,102,104,48,78,102,19,34	
78,100,77,0,100,19,19,102,19,0,51,0,102,58,100,19,19,102,19,34,51,78,100,77,0,77,102,104,48,78,102,19,0	0,102,58,77,102,104,48,78,102,19,34	
78,100,77,0,100,19,19,102,19,0,51,0,102,58,100,19,19,102,19,34,51,78,100,77,0,77,102,104,48,78,102,19,0	0,102,58,77,102,104,48,78,102,19,34	
78,100,77,0,100,19,19,102,19,0,51,0,102,58,100,19,19,102,19,34,51,78,100,77,0,77,102,104,48,78,102,19,0	0,102,58,77,102,104,48,78,102,19,34	
78,100,77,0,100,19,19,102,19,0,51,0,102,58,100,19,19,102,19,34,51,78,100,77,0,77,102,104,48,78,102,19,0	0,102,58,77,102,104,48,78,102,19,34	
78,100,77,0,100,19,19,102,19,0,51,0,102,58,100,19,19,102,19,34,51,78,100,77,0,77,102,104,48,78,102,19,0	0,102,58,77,102,104,48,78,102,19,34	
78,100,77,0,103,24,102,104,0,51,0,19,100,24,100,58,103,24,102,104,34,51,78,100,77,0,24,102,25,24,0	0,103,24,102,104,58,24,102,25,24,34	
78,100,77,0,103,24,102,104,0,51,0,19,100,24,100,58,103,24,102,104,34,51,78,100,77,0,24,102,25,24,0	0,103,24,102,104,58,24,102,25,24,34	
